block_number,address,bytecode_size,bytes_count,chunks_count,code_ops_count
22000000,0x8ad599c3A0ff1De082011EFDDc58f1908eb6e6D8,22142,5136,215,1
22000000,0x85a471E728F8F0932694d349993DC9A599a5978c,19080,2394,93,0
22000000,0x5Ebac8dbfbBA22168471b0f914131d1976536A25,11329,2762,114,0
22000000,0x4512759606F9e680361dD76c4C17f92031De7AcD,15159,1209,54,6
22000000,0x4C19596f5aAfF459fA38B0f7eD92F11AE6543784,2700,143,6,2
22000000,0x8CC51c532f5A71210D19d87D3d8a1E6F50AD583c,2112,283,16,0
22000000,0x1008FAbD07aBd93a7D9bB81803a89cC3a834E1A9,7265,2305,104,0
22000000,0xF0262815AA54aEa5D9EEc6eA09937C6723b7Bd21,6164,316,16,0
22000001,0x68d30f47F19c07bCCEf4Ac7FAE2Dc12FCa3e0dC9,170,103,4,0
22000001,0x5141B82f5fFDa4c6fE1E372978F1C5427640a190,17346,2012,82,1
22000001,0x3819f64f282bf135d62168C1e513280dAF905e06,22131,574,38,3
22000001,0xce16F69375520ab01377ce7B88f5BA8C48F8D666,1690,133,6,0
22000001,0x48e6c30B97748d1e2e03bf3e9FbE3890ca5f8CCA,6278,1165,61,1
22000001,0x157AcBFc886Da26879b87c4872b341E28397e8BD,5493,1143,55,0
